id,y_true,dataset_role
211,0,train
229,0,train
77,0,train
284,0,train
543,0,train
350,0,train
201,0,train
758,0,train
145,0,train
34,1,train
406,0,train
766,0,train
296,0,train
251,0,train
611,0,train
654,0,train
791,0,train
363,0,train
785,0,train
746,0,train
511,1,train
16,1,train
570,1,train
146,0,train
190,0,train
247,1,train
75,0,train
719,0,train
189,0,train
318,0,train
502,0,train
228,0,train
495,0,train
549,0,train
571,0,train
669,0,train
321,0,train
449,0,train
70,1,train
295,1,train
155,0,train
261,0,train
329,1,train
594,0,train
309,0,train
809,0,train
214,0,train
416,0,train
542,0,train
579,0,train
603,0,train
405,0,train
132,0,train
821,0,train
553,0,train
254,0,train
519,0,train
66,1,train
501,0,train
286,0,train
41,0,train
675,0,train
253,0,train
686,0,train
196,0,train
188,1,train
731,0,train
102,0,train
319,0,train
112,0,train
581,0,train
313,1,train
794,0,train
652,0,train
317,0,train
180,0,train
240,0,train
42,0,train
221,0,train
356,0,train
643,0,train
621,0,train
176,1,train
834,0,train
734,0,train
84,0,train
428,0,train
425,0,train
689,0,tuning
827,0,tuning
243,0,tuning
177,0,tuning
120,0,tuning
814,0,tuning
586,0,tuning
596,0,tuning
209,1,tuning
548,0,tuning
499,0,tuning
776,1,tuning
203,1,tuning
510,0,tuning
398,0,tuning
763,0,tuning
826,0,tuning
324,1,tuning
437,0,tuning
389,0,tuning
308,0,tuning
801,0,tuning
547,1,tuning
222,1,tuning
677,0,tuning
604,0,tuning
565,0,tuning
195,0,tuning
474,0,tuning
748,0,tuning
635,0,tuning
385,0,tuning
805,0,tuning
441,0,tuning
442,0,tuning
475,0,tuning
816,0,tuning
275,1,tuning
235,0,tuning
123,1,tuning
36,1,tuning
40,0,tuning
85,0,tuning
134,1,tuning
659,1,tuning
512,0,tuning
788,0,tuning
26,0,tuning
589,1,tuning
535,0,tuning
462,0,tuning
784,1,tuning
685,0,tuning
463,0,tuning
227,1,tuning
822,0,tuning
456,0,tuning
9,1,tuning
31,0,tuning
651,0,tuning
82,0,tuning
616,0,tuning
418,0,tuning
104,0,tuning
78,1,tuning
762,0,tuning
20,1,tuning
52,0,tuning
609,0,tuning
422,0,tuning
802,0,tuning
192,0,tuning
597,1,tuning
5,0,tuning
259,0,tuning
237,1,tuning
135,0,tuning
684,0,tuning
514,0,tuning
485,0,tuning
444,0,tuning
239,0,tuning
412,0,tuning
619,0,tuning
194,0,tuning
45,1,tuning
169,0,tuning
157,0,tuning
140,0,tuning
298,0,tuning
739,0,tuning
559,1,tuning
524,0,tuning
705,0,tuning
378,0,tuning
681,0,tuning
440,0,tuning
529,0,tuning
467,0,tuning
773,0,tuning
60,1,tuning
747,0,tuning
322,0,tuning
774,0,tuning
471,0,tuning
29,0,tuning
490,0,tuning
365,0,tuning
224,1,tuning
184,0,tuning
704,1,tuning
341,0,tuning
702,0,tuning
353,0,tuning
486,0,tuning
737,0,tuning
141,0,tuning
143,0,tuning
767,1,tuning
756,0,tuning
556,0,tuning
400,0,tuning
493,0,tuning
498,1,tuning
574,0,tuning
325,1,tuning
569,0,tuning
539,0,tuning
605,0,tuning
116,0,tuning
481,0,tuning
115,0,tuning
419,1,tuning
712,0,tuning
158,0,tuning
618,1,tuning
722,0,tuning
175,0,tuning
701,0,tuning
470,0,tuning
391,0,tuning
835,0,tuning
757,0,tuning
563,0,tuning
561,0,tuning
590,0,tuning
117,0,tuning
593,0,tuning
523,0,tuning
69,0,tuning
7,0,tuning
232,0,tuning
218,1,tuning
19,1,tuning
268,1,tuning
402,1,tuning
799,0,tuning
131,0,tuning
466,1,tuning
99,1,tuning
394,1,tuning
627,0,tuning
59,0,tuning
614,0,tuning
829,0,tuning
137,0,tuning
65,0,tuning
305,0,tuning
828,0,tuning
352,0,tuning
505,0,tuning
71,0,tuning
401,0,tuning
676,0,tuning
732,0,tuning
769,0,tuning
334,0,tuning
294,0,tuning
703,0,tuning
824,0,tuning
789,0,tuning
368,0,tuning
333,1,tuning
503,0,tuning
775,0,tuning
407,0,tuning
613,0,tuning
161,0,tuning
96,0,tuning
46,0,tuning
625,0,tuning
392,0,tuning
388,1,tuning
787,0,tuning
314,0,tuning
664,0,tuning
439,1,tuning
691,0,tuning
179,0,tuning
56,0,tuning
208,0,tuning
755,0,tuning
779,1,tuning
159,0,tuning
516,0,tuning
54,0,tuning
72,1,tuning
183,0,tuning
172,1,tuning
484,0,tuning
641,0,tuning
796,0,tuning
113,0,tuning
379,0,tuning
283,0,tuning
166,0,tuning
517,0,tuning
537,0,tuning
479,0,tuning
377,0,tuning
743,0,tuning
39,0,tuning
572,1,tuning
121,0,tuning
300,0,tuning
217,0,tuning
409,0,tuning
751,0,tuning
759,0,tuning
346,0,tuning
22,0,tuning
15,0,tuning
263,0,tuning
637,0,tuning
690,0,tuning
258,0,tuning
390,0,tuning
210,0,tuning
783,0,tuning
73,0,tuning
624,0,tuning
331,0,tuning
720,0,tuning
330,0,tuning
362,0,tuning
674,0,tuning
693,0,tuning
695,0,tuning
552,0,tuning
244,0,tuning
443,0,tuning
800,0,tuning
248,0,tuning
808,0,tuning
452,1,tuning
326,0,tuning
595,0,tuning
803,0,tuning
810,1,tuning
91,0,tuning
818,0,tuning
584,0,tuning
662,0,tuning
6,0,tuning
815,0,tuning
212,0,tuning
147,0,tuning
375,0,tuning
128,0,tuning
568,0,tuning
320,0,tuning
124,0,tuning
450,0,tuning
741,0,tuning
106,0,tuning
348,0,tuning
687,0,tuning
197,0,tuning
108,1,tuning
230,0,tuning
629,0,tuning
151,0,tuning
648,1,tuning
129,0,tuning
336,0,tuning
307,0,tuning
249,0,tuning
427,0,tuning
170,0,tuning
148,0,tuning
476,0,tuning
482,0,tuning
387,0,tuning
246,0,tuning
163,0,tuning
186,0,tuning
455,1,tuning
404,0,tuning
289,0,tuning
683,0,tuning
612,0,tuning
580,0,tuning
601,0,tuning
592,0,tuning
24,0,tuning
100,0,tuning
304,0,tuning
95,0,tuning
551,0,tuning
667,1,tuning
32,0,tuning
525,0,tuning
736,1,tuning
585,0,tuning
302,0,tuning
645,0,tuning
538,1,tuning
573,0,tuning
560,1,tuning
27,0,tuning
713,0,tuning
245,0,tuning
557,0,tuning
798,0,tuning
620,0,tuning
4,0,tuning
526,0,tuning
53,0,tuning
698,0,tuning
786,0,tuning
242,0,tuning
191,1,tuning
364,0,tuning
544,0,tuning
811,0,tuning
207,0,tuning
480,0,tuning
668,0,validation
86,0,validation
264,0,validation
273,1,validation
370,0,validation
431,0,validation
434,0,validation
250,0,validation
373,0,validation
725,0,validation
396,0,validation
729,0,validation
606,1,validation
152,0,validation
380,0,validation
793,0,validation
430,0,validation
634,0,validation
266,1,validation
342,0,validation
679,0,validation
764,0,validation
17,0,validation
566,0,validation
733,0,validation
513,1,validation
458,0,validation
656,0,validation
777,1,validation
411,1,validation
489,0,validation
623,1,validation
3,0,validation
288,0,validation
33,0,validation
213,0,validation
397,0,validation
706,0,validation
144,0,validation
663,0,validation
360,0,validation
823,0,validation
457,0,validation
518,0,validation
562,0,validation
226,1,validation
18,0,validation
21,1,validation
697,0,validation
55,0,validation
290,0,validation
817,0,validation
564,0,validation
528,0,validation
658,1,validation
790,0,validation
740,1,validation
680,0,validation
48,0,validation
426,0,validation
97,0,validation
575,0,validation
204,0,validation
118,0,validation
532,0,validation
316,0,validation
792,0,validation
806,0,validation
660,0,validation
453,0,validation
312,0,validation
43,0,validation
768,1,validation
842,0,validation
483,1,validation
277,0,validation
622,0,validation
832,0,validation
745,0,validation
376,0,validation
37,0,validation
795,0,validation
504,0,validation
728,0,validation
838,0,validation
797,0,test
617,0,test
531,0,test
840,0,test
2,0,test
107,0,test
700,0,test
781,0,test
521,0,test
369,0,test
446,0,test
110,0,test
205,1,test
724,0,test
507,0,test
772,1,test
164,1,test
62,0,test
382,0,test
750,0,test
156,0,test
220,1,test
47,0,test
142,0,test
408,0,test
293,0,test
260,0,test
639,0,test
351,0,test
87,0,test
297,0,test
270,0,test
508,0,test
497,0,test
717,1,test
90,0,test
381,0,test
607,1,test
79,0,test
76,0,test
678,0,test
761,0,test
233,0,test
555,0,test
171,0,test
30,0,test
200,0,test
633,0,test
279,1,test
93,1,test
125,0,test
424,0,test
337,1,test
447,0,test
771,0,test
285,0,test
354,1,test
438,0,test
578,0,test
328,0,test
492,0,test
255,1,test
487,0,test
721,0,test
819,0,test
696,0,test
451,0,test
347,0,test
661,0,test
533,1,test
149,0,test
366,0,test
833,0,test
459,0,test
433,1,test
515,0,test
711,0,test
782,0,test
241,0,test
491,0,test
182,0,test
133,0,test
582,0,test
181,0,test
488,0,test
